5.629166025871215e+237,1.0956962143461722e+238,nan,nan,nan,nan,-1.4215287341346494e+240,nan,2.8242856725421e+238,nan
nan,-2.724748801284261e+242,nan,7.554805483374509e+236,6.052874860104902e+238,6.499465570499915e+238,nan,4.175046791550761e+238,nan,5.263059539456802e+238
8.868055105972524e+237,3.60572326798644e+238,-1.4557894362670656e+242,nan,nan,nan,nan,3.5752707625852206e+238,5.973659051182922e+237,4.764037458127048e+238
3.560931956077362e+238,nan,2.274279404050639e+238,1.0406917821143385e+238,nan,5.431037541511404e+238,nan,nan,nan,3.887118656214566e+238
nan,nan,nan,nan,3.283735143005056e+238,4.636117017483344e+241,3.0392794549614307e+238,-4.09368038747586e+240,nan,nan
4.6160914918828304e+237,nan,nan,2.4219205656585143e+238,1.7506983446659897e+242,3.2342932447246346e+238,1.0652758491587897e+238,nan,1.4165840184231193e+238,2.2232892384899986e+238
5.968016476251567e+238,3.109410604175919e+238,nan,nan,1.9288025132996786e+238,nan,-4.479394000544538e+239,3.6999091339220085e+238,5.999704517149668e+238,4.095148957523445e+238
1.2212814727866025e+237,nan,6.549333755960336e+238,8.664429582686636e+237,nan,6.25661818010805e+238,nan,3.0267411192080447e+238,4.237469950803057e+238,1.7329018715882425e+238
nan,2.4925736363256998e+238,nan,nan,1.6243019426271176e+238,nan,1.364959410416202e+238,1.0928569219680105e+243,-2.468467470321533e+241,-5.589432708631829e+243
5.522753448300946e+238,nan,7.619039171917944e+239,nan,4.0327482960128503e+238,4.1270524869050493e+238,1.1722818328604327e+237,-5.104408722470064e+244,6.015278995724171e+238,1.5129090485308927e+244
